id,chemical_name,status,category,restriction_details,registered_formulations
148,Captan,REGISTERED,UNKNOWN,US-EPA endocrine disruptor; banned in 6 countries,Captan 50% WG | Captan 50% WP | Captan 75% WS | Captan 75% WP | Captan70% + Hexaconazole 5%WP
149,Carbendazim,REGISTERED,UNKNOWN,"Foetotoxic, teratogenic, fungicide resistance risk; banned in 29 countries",Carbendazim 25% DS | Carbendazim 46.27% SC | Carbendazim 5% GR | Carbendazim 50% WP | Carbendazim 1.92% + Mancozeb10.08%GR | Carbendazim12% + Mancozeb 63%WP | Carbendazim12% + Mancozeb 63%WS | Carbendazim 25%+Flusilazole 12.5%SE | Carbendazim 25% + Mancozeb 50%WS | Carbendazim 11.57% + Tebuconazole 11.57% SC
150,Carbosulfan,REGISTERED,UNKNOWN,,Carbosulfan 06% Granules | Carbosulfan 25% DS | Carbosulfan 25% EC
151,Carboxin,REGISTERED,UNKNOWN,,Carboxin 75% WP | Carboxin17.5% +Thiram1 7.5% FF | Carboxin 37.5% +Thiram37.5%WS | Carboxin 22.5% + Thiram 22.5% + Imidacloprid 18% WS
152,Carfentrazone Ethyl,REGISTERED,UNKNOWN,,Carfentrazone ethyl 40% DF | Carfentrazone ethyl 0.43% + Glyphosate 30.82%EW | Carfentrazone ethyl 20% + Sulfosulfuron 25%WG | Carfentrazone ethyl 5% + Clodinafop propargyl 15% DF
153,Carpropamid,REGISTERED,UNKNOWN,,Carpropamid 27.8% SC
154,Cartap Hydrochloride,REGISTERED,UNKNOWN,,Cartap Hydrochloride 04% Granules | Cartap Hydrochloride 50% SP | Cartap Hydrochloride 75% SG | Cartap hydrochloride 25% + Emamectin benzoate 1% SG | Cartap hydrochloride 7.5% + Chlorantraniliprole 0.4% GR
155,Chlorantraniliprole,REGISTERED,UNKNOWN,,Chlorantraniliprole 0.40% GR | Chlorantraniliprole 0.53% w/w GR | Chlorantraniliprole 18.50% SC | Chlorantraniliprole 35% WG | Chlorantraniliprole 47.85% w/w SC | Chlorantraniliprole 50% FS | Chlorantraniliprole 0.35% + Fipronil 0.35% GR | Chlorantraniliprole 0.50% + Thiamethoxam 1% GR | Chlorantraniliprole 0.53% w/w + Fipronil 0.8% w/w GR | Chlorantraniliprole 0.83% + Fipronil 1.33% w/w GR | Chlorantraniliprole 12% + Fipronil 30% w/w WG | Chlorantraniliprole 4.3%+ Abamectin 1.7% SC | Chlorantraniliprole 4.5% + Novaluron 11.5% + Emamectin Benzoate 1.5% SE | Chlorantraniliprole 5.2% + Novaluron 8.5% SC | Chlorantraniliprole 7.5% w/w + Thiamethoxam 7.5% w/w OD | Chlorantraniliprole 8.8% + Thiamethoxam 17.5% SC | Chlorantraniliprole 9.3% + Lambdacyhalothrin 4.6% ZC | Chlorantraniliprole 15% + Emamectin benzoate 7.5% SC | Chlorantraniliprole 0.4% + Fipronil 0.6% GR | Chlorantraniliprole 10% + Novaluron 20% SC | Chlorantraniliprole 0.64% + Tebuconazole 3% + Clothianidin 1.92% GR | Chlorantraniliprole 15.75% + Clothianidin 26.25% SC
156,Chlorfenopyr,REGISTERED,UNKNOWN,,
157,Chlorfluazuron,REGISTERED,UNKNOWN,,Chlorfluazuron 05.40%EC
